Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_DO-35_SOD27_P7.62mm_Horizontal,54.7125,-84.68,-90.0,top
D10,D,D_DO-35_SOD27_P7.62mm_Horizontal,224.7,-84.68,-90.0,top
D11,D,D_DO-35_SOD27_P7.62mm_Horizontal,54.7125,-103.73,-90.0,top
D12,D,D_DO-35_SOD27_P7.62mm_Horizontal,72.3,-103.73,-90.0,top
D13,D,D_DO-35_SOD27_P7.62mm_Horizontal,91.35,-103.73,-90.0,top
D14,D,D_DO-35_SOD27_P7.62mm_Horizontal,110.4,-103.73,-90.0,top
D15,D,D_DO-35_SOD27_P7.62mm_Horizontal,129.45,-103.73,-90.0,top
D16,D,D_DO-35_SOD27_P7.62mm_Horizontal,148.5,-103.73,-90.0,top
D17,D,D_DO-35_SOD27_P7.62mm_Horizontal,167.55,-103.73,-90.0,top
D18,D,D_DO-35_SOD27_P7.62mm_Horizontal,186.6,-103.73,-90.0,top
D19,D,D_DO-35_SOD27_P7.62mm_Horizontal,205.65,-103.73,-90.0,top
D2,D,D_DO-35_SOD27_P7.62mm_Horizontal,72.3,-84.68,-90.0,top
D20,D,D_DO-35_SOD27_P7.62mm_Horizontal,224.7,-103.73,-90.0,top
D21,D,D_DO-35_SOD27_P7.62mm_Horizontal,54.7125,-122.78,-90.0,top
D22,D,D_DO-35_SOD27_P7.62mm_Horizontal,72.3,-122.78,-90.0,top
D23,D,D_DO-35_SOD27_P7.62mm_Horizontal,91.35,-122.78,-90.0,top
D24,D,D_DO-35_SOD27_P7.62mm_Horizontal,110.4,-122.78,-90.0,top
D25,D,D_DO-35_SOD27_P7.62mm_Horizontal,129.45,-122.78,-90.0,top
D26,D,D_DO-35_SOD27_P7.62mm_Horizontal,148.5,-122.78,-90.0,top
D27,D,D_DO-35_SOD27_P7.62mm_Horizontal,167.55,-122.78,-90.0,top
D28,D,D_DO-35_SOD27_P7.62mm_Horizontal,186.6,-122.78,-90.0,top
D29,D,D_DO-35_SOD27_P7.62mm_Horizontal,205.65,-122.78,-90.0,top
D3,D,D_DO-35_SOD27_P7.62mm_Horizontal,91.35,-84.68,-90.0,top
D30,D,D_DO-35_SOD27_P7.62mm_Horizontal,224.7,-122.78,-90.0,top
D4,D,D_DO-35_SOD27_P7.62mm_Horizontal,110.4,-84.68,-90.0,top
D5,D,D_DO-35_SOD27_P7.62mm_Horizontal,129.45,-84.68,-90.0,top
D6,D,D_DO-35_SOD27_P7.62mm_Horizontal,148.5,-84.68,-90.0,top
D7,D,D_DO-35_SOD27_P7.62mm_Horizontal,167.55,-84.68,-90.0,top
D8,D,D_DO-35_SOD27_P7.62mm_Horizontal,186.6,-84.68,-90.0,top
D9,D,D_DO-35_SOD27_P7.62mm_Horizontal,205.65,-84.68,-90.0,top
H1,MountingHole,MountingHole_2.2mm_M2_Pad,72.3,-95.475,0.0,top
H2,MountingHole,MountingHole_2.2mm_M2_Pad,72.3,-114.525,0.0,top
H3,MountingHole,MountingHole_2.2mm_M2_Pad,224.7,-95.475,0.0,top
H4,MountingHole,MountingHole_2.2mm_M2_Pad,224.7,-114.525,0.0,top
SW1,SW_Push,SW_Cherry_MX_1.00u_PCB,62.775,-83.86,0.0,top
SW10,SW_Push,SW_Cherry_MX_1.00u_PCB,234.225,-83.86,0.0,top
SW11,SW_Push,SW_Cherry_MX_1.00u_PCB,62.775,-102.91,0.0,top
SW12,SW_Push,SW_Cherry_MX_1.00u_PCB,81.825,-102.91,0.0,top
SW13,SW_Push,SW_Cherry_MX_1.00u_PCB,100.875,-102.91,0.0,top
SW14,SW_Push,SW_Cherry_MX_1.00u_PCB,119.925,-102.91,0.0,top
SW15,SW_Push,SW_Cherry_MX_1.00u_PCB,138.975,-102.91,0.0,top
